Result;Type;Category;Position X;Position Y
37;1;1;1.738151;7.871702
37;1;2;2.998597;6.575819
37;1;2;7.021266;8.397902
37;1;2;7.889168;6.865882
37;0;2;1.129181;1.210823
37;0;2;4.498432;2.14557
37;0;2;3.197459;0.8869876
37;0;2;8.300537;1.642797
37;0;0;1.857089;2.024782
37;0;0;2.140543;1.503267
38;1;2;3.427583;6.380216
38;1;2;1.948436;7.697248
38;1;2;7.227972;7.543844
38;1;2;7.058132;6.391009
38;0;0;8.091952;1.50119
38;0;2;6.83004;1.608741
38;0;2;2.125864;1.785628
38;0;0;8.521703;1.274965
38;0;2;5.533001;1.886659
38;0;0;5.047307;2.263956
38;0;0;1.188572;1.303522
39;1;1;1.497632;8.731888
39;1;1;3.206654;6.652558
39;1;1;4.924366;7.737109
39;1;1;6.975571;9.238438
39;1;2;8.239351;7.296555
39;0;1;7.402414;2.030734
39;0;0;5.509079;2.040811
39;0;0;5.650006;0.5155671
39;0;2;7.537394;1.559337
39;0;1;7.797643;0.8946362
39;0;1;3.036181;1.335003
39;0;0;3.81443;1.47826
39;0;0;6.226285;0.8752937
40;1;2;5.713478;7.175135
40;1;2;1.361075;6.322443
40;1;2;0.9848966;9.275155
40;1;2;8.161196;7.841254
40;0;2;6.678642;2.242411
40;0;1;6.555608;0.7772903
40;0;0;2.283253;0.7154894
40;0;1;6.977255;1.719676
40;0;1;8.295534;1.220158
40;0;2;3.290715;1.319261
40;0;0;4.253421;1.51772
41;1;2;1.319507;7.039165
41;1;1;3.143003;7.635243
41;1;1;1.410455;9.103332
41;1;2;3.366913;6.698233
41;1;1;5.318863;6.937497
41;0;1;6.266538;2.421475
41;0;0;7.039608;1.248246
41;0;0;4.683119;2.088969
41;0;0;8.511071;1.111875
41;0;2;5.742465;2.472908
41;0;1;8.724334;0.6233121
41;0;0;7.306922;2.251735
41;0;1;1.574184;0.4452806
42;1;1;8.089959;6.589808
42;1;1;6.103463;7.032751
42;1;1;2.640495;7.122165
42;1;1;6.689416;6.516574
42;1;2;3.616034;7.667126
42;0;1;6.839044;1.523596
42;0;0;5.398817;2.399109
42;0;1;7.780096;1.694885
42;0;0;5.593113;1.032718
42;0;0;4.219551;1.238252
42;0;1;1.422757;1.520763
42;0;2;1.776623;2.483861
42;0;0;4.539694;2.414655
43;1;2;4.647218;7.683739
43;1;2;7.743584;6.43708
43;1;1;2.694039;7.993927
43;1;1;1.562706;8.96074
43;1;1;4.903147;6.475187
43;0;1;1.087699;0.9893875
43;0;0;1.964179;1.753005
43;0;1;1.936604;0.5904121
43;0;0;6.688354;2.292907
43;0;1;8.12423;1.034484
43;0;1;5.256876;0.5613012
43;0;2;2.837309;1.803824
44;1;1;5.25848;6.789837
44;1;2;6.787166;9.18403
44;1;2;6.588344;7.078685
44;1;2;7.873675;6.649407
44;0;2;4.615395;0.6447597
44;0;0;4.215245;0.4906151
44;0;0;5.869365;2.502097
44;0;0;5.787783;1.741287
44;0;2;2.712469;2.344409
44;0;2;7.412397;0.7605088
44;0;0;6.225602;1.355203
45;1;1;3.306422;7.31574
45;1;1;7.605995;8.204442
45;1;1;2.215621;8.353509
45;1;1;1.22784;9.142498
45;1;2;1.028645;8.074333
45;0;1;6.04353;0.4986181
45;0;0;4.906696;1.283085
45;0;1;3.754937;2.230597
45;0;0;7.252633;0.7523777
45;0;2;7.849385;2.298458
45;0;1;0.8300259;1.848977
45;0;1;7.939403;1.107407
46;1;2;7.510398;7.657677
46;1;2;3.374738;6.505293
46;1;1;2.13748;9.27739
46;1;2;7.323118;6.60709
46;0;2;4.222365;2.511732
46;0;0;1.486087;2.39087
46;0;1;1.664839;0.5734671
46;0;2;4.010883;1.802619
46;0;1;6.889586;2.255054
46;0;0;2.869702;2.353149
46;0;1;8.238866;2.507667
47;1;2;8.376236;8.465663
47;1;1;6.289226;7.824407
47;1;1;2.379886;8.778654
47;1;1;3.124647;7.349207
47;1;1;6.26036;7.066027
47;0;1;5.381112;0.5924178
47;0;1;0.8088141;1.709569
47;0;1;3.482694;1.035803
47;0;1;5.355896;2.377865
47;0;0;5.860771;0.6544138
47;0;2;7.186117;2.057965
47;0;1;4.059289;1.463708
48;1;1;7.35113;8.705568
48;1;1;4.847931;7.2661
48;1;1;1.440087;8.577285
48;1;2;2.438311;8.582873
48;1;1;7.747973;7.267694
48;0;2;3.355507;0.5787007
48;0;1;4.720088;0.9303252
48;0;2;2.586988;1.642866
48;0;0;3.703569;0.4849803
48;0;1;4.832547;1.745743
48;0;2;4.168544;1.706244
49;1;2;2.930477;7.391437
49;1;1;8.180544;8.350544
49;1;1;8.356327;6.61237
49;1;1;4.785074;7.929349
49;1;1;0.9962049;7.959492
49;0;1;4.625341;1.227037
49;0;2;1.636454;0.8796679
49;0;1;3.901897;2.28078
49;0;1;2.311391;1.614874
49;0;1;8.550494;2.441427
49;0;2;6.008241;1.222919
